wardnum,orig,name1,name2
1,http://www.pmc.gov.in/sites/default/files/final_ward_maps/1_F_Ward.pdf,01 Dhanori - Vishrantwadi,Dhanori - Vishrantwadi
2,http://www.pmc.gov.in/sites/default/files/final_ward_maps/2_F_Ward.pdf,02 Tingrenagar - Sanjay Park,Tingrenagar - Sanjay Park
3,http://www.pmc.gov.in/sites/default/files/final_ward_maps/3_F_Ward.pdf,03 Lohegaon - Vimannagar,Lohegaon - Vimannagar
4,http://www.pmc.gov.in/sites/default/files/final_ward_maps/4_F_Ward.pdf,04 East Kharadi - Wagholi,East Kharadi - Wagholi
5,http://www.pmc.gov.in/sites/default/files/final_ward_maps/5_F_Ward.pdf,05 West Kharadi - Vadgaon Sheri,West Kharadi - Vadgaon Sheri
6,http://www.pmc.gov.in/sites/default/files/final_ward_maps/6_F_Ward.pdf,06 Vadgaon Sheri - Ramwadi,Vadgaon Sheri - Ramwadi
7,http://www.pmc.gov.in/sites/default/files/final_ward_maps/7_F_Ward.pdf,07 Kalyaninagar - Nagpur Chawl,Kalyaninagar - Nagpur Chawl
8,http://www.pmc.gov.in/sites/default/files/final_ward_maps/8_F_Ward.pdf,08 Kalas - Phulenagar,Kalas - Phulenagar
9,http://www.pmc.gov.in/sites/default/files/final_ward_maps/9_F_Ward.pdf,09 Yerwada,Yerwada
10,http://www.pmc.gov.in/sites/default/files/final_ward_maps/10_F_Ward.pdf,10 Shivajinagar Gaothan - Sangamwadi,Shivajinagar Gaothan - Sangamwadi
11,http://www.pmc.gov.in/sites/default/files/final_ward_maps/11_F_Ward.pdf,11 Bopodi - Savitribai Phule Pune University,Bopodi - Savitribai Phule Pune University
12,http://www.pmc.gov.in/sites/default/files/final_ward_maps/12_F_Ward.pdf,12 Aundh - Balewadi,Aundh - Balewadi
13,http://www.pmc.gov.in/sites/default/files/final_ward_maps/13_F_Ward.pdf,13 Baner - Sus - Mahalunge,Baner - Sus - Mahalunge
14,http://www.pmc.gov.in/sites/default/files/final_ward_maps/14_F_Ward.pdf,14 Pashan - Bawdhan,Pashan - Bawdhan
15,http://www.pmc.gov.in/sites/default/files/final_ward_maps/15_F_Ward.pdf,15 Gokhalenagar - Vadarwadi,Gokhalenagar - Vadarwadi
16,http://www.pmc.gov.in/sites/default/files/final_ward_maps/16_F_Ward.pdf,16 Fergusson College - Erandwane,Fergusson College - Erandwane
17,http://www.pmc.gov.in/sites/default/files/final_ward_maps/17_F_Ward.pdf,17 Shaniwar peth - Navi Peth,Shaniwar peth - Navi Peth
18,http://www.pmc.gov.in/sites/default/files/final_ward_maps/18_F_Ward.pdf,18 Shaniwarwada - Kasba Peth,Shaniwarwada - Kasba Peth
19,http://www.pmc.gov.in/sites/default/files/final_ward_maps/19_F_Ward.pdf,19 Chhatrapati Shivaji Maharaj Stadium - Rasta peth,Chhatrapati Shivaji Maharaj Stadium - Rasta peth
20,http://www.pmc.gov.in/sites/default/files/final_ward_maps/20_F_Ward.pdf,20 Pune Station -Matoshri Ramabai Ambedkar Road,Pune Station -Matoshri Ramabai Ambedkar Road
21,http://www.pmc.gov.in/sites/default/files/final_ward_maps/21_F_Ward.pdf,21 Koregaon park - Mundhwa,Koregaon park - Mundhwa
